Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,67.04,67.36,67.00,67.10,21704700,67.10
2013-12-30,66.74,66.91,66.68,66.85,14432400,66.85
2013-12-27,66.76,66.77,66.51,66.57,18585400,66.57
2013-12-26,66.16,66.28,66.15,66.23,8510500,66.23
2013-12-24,65.63,65.87,65.56,65.87,6708500,65.87
2013-12-23,65.49,65.76,65.40,65.74,15767500,65.74
2013-12-20,64.91,65.18,64.88,65.07,18427500,65.07
2013-12-19,64.49,64.81,64.42,64.70,20647100,64.70
2013-12-18,64.22,64.86,63.50,64.70,28970800,64.70
2013-12-17,64.36,64.38,64.08,64.25,15966500,63.70
2013-12-16,64.51,64.73,64.47,64.53,13338900,63.98
2013-12-13,64.10,64.15,63.85,64.07,12214200,63.52
2013-12-12,64.28,64.34,63.95,64.11,14118200,63.56
2013-12-11,65.20,65.21,64.55,64.58,14151000,64.03
2013-12-10,65.15,65.29,65.00,65.19,13978200,64.63
2013-12-09,65.25,65.41,65.21,65.30,11275800,64.74
2013-12-06,65.13,65.40,65.01,65.37,12965100,64.81
2013-12-05,64.73,64.87,64.48,64.57,13115500,64.02
2013-12-04,64.53,65.00,64.52,64.94,18591200,64.38
2013-12-03,65.42,65.54,65.09,65.29,14776300,64.73
2013-12-02,66.01,66.11,65.74,65.75,17686300,65.19
2013-11-29,66.52,66.58,66.24,66.24,13964200,65.67
2013-11-27,66.18,66.29,66.03,66.11,9667100,65.54
2013-11-26,65.82,66.01,65.75,65.95,14620200,65.38
2013-11-25,66.10,66.11,65.87,65.95,11835000,65.38
2013-11-22,65.95,66.23,65.91,66.15,18657100,65.58
2013-11-21,65.77,65.97,65.66,65.96,15963400,65.39
2013-11-20,66.08,66.22,65.38,65.55,18220600,64.99
2013-11-19,66.02,66.20,65.88,66.01,10664300,65.44
2013-11-18,66.56,66.60,66.09,66.18,12776200,65.61
2013-11-15,66.03,66.32,65.96,66.18,25278400,65.61
2013-11-14,65.35,65.73,65.29,65.65,14537100,65.09
2013-11-13,64.64,65.42,64.62,65.35,12669400,64.79
2013-11-12,65.18,65.32,64.97,65.14,13391000,64.58
2013-11-11,65.24,65.37,65.16,65.36,14206100,64.80
2013-11-08,64.70,65.24,64.69,65.22,15873000,64.66
2013-11-07,65.62,65.67,64.76,64.84,22820200,64.28
2013-11-06,65.89,66.05,65.75,65.88,16260600,65.31
2013-11-05,65.20,65.42,64.99,65.31,13129600,64.75
2013-11-04,65.68,65.88,65.55,65.88,27539500,65.31
2013-11-01,65.53,65.59,65.19,65.56,18921000,65.00
2013-10-31,66.07,66.25,65.78,65.88,22366900,65.31
2013-10-30,66.56,66.59,65.92,66.25,18774000,65.68
2013-10-29,66.41,66.51,66.31,66.49,12121400,65.92
2013-10-28,66.28,66.48,66.19,66.35,9936700,65.78
2013-10-25,66.45,66.47,66.28,66.46,16688300,65.89
2013-10-24,66.56,66.69,66.40,66.65,11820900,66.08
2013-10-23,66.21,66.25,65.97,66.19,13384700,65.62
2013-10-22,66.52,66.96,66.52,66.84,13015200,66.27
2013-10-21,65.99,66.18,65.93,66.18,11068000,65.61
2013-10-18,65.89,66.11,65.78,66.08,16283000,65.51
2013-10-17,65.19,65.72,65.13,65.69,21850200,65.13
2013-10-16,64.54,64.85,64.49,64.83,17389900,64.27
2013-10-15,64.40,64.52,64.28,64.35,15599400,63.80
2013-10-14,64.17,64.71,64.12,64.66,7213800,64.10
2013-10-11,64.11,64.47,64.07,64.44,13279100,63.89
2013-10-10,63.51,64.20,63.50,64.10,16423300,63.55
2013-10-09,62.93,63.09,62.54,62.97,19659500,62.43
2013-10-08,63.22,63.31,62.68,62.70,19635600,62.16
2013-10-07,63.06,63.49,63.04,63.19,17360800,62.65
2013-10-04,63.61,63.92,63.58,63.85,11699000,63.30
2013-10-03,63.99,64.03,63.59,63.70,16212700,63.15
2013-10-02,63.91,64.16,63.59,64.12,12620200,63.57
2013-10-01,63.87,64.30,63.75,64.14,15392400,63.59
2013-09-30,63.61,63.97,63.55,63.80,22274400,63.25
2013-09-27,64.19,64.42,64.13,64.26,17705800,63.71
2013-09-26,64.30,64.59,64.25,64.49,15653800,63.94
2013-09-25,64.11,64.36,64.01,64.22,14478100,63.67
2013-09-24,64.20,64.41,63.98,64.15,14979200,63.60
2013-09-23,64.29,64.36,63.95,64.25,17860700,63.70
2013-09-20,64.63,64.63,64.24,64.27,18878600,63.72
2013-09-19,65.07,65.08,64.65,64.74,19195600,64.18
2013-09-18,63.41,65.11,63.24,65.05,21359000,64.49
2013-09-17,63.17,63.36,63.17,63.36,10370400,62.82
2013-09-16,63.65,63.65,63.27,63.32,18909500,62.78
2013-09-13,62.61,62.84,62.43,62.83,13590900,62.29
2013-09-12,62.57,62.81,62.52,62.53,16745000,61.99
2013-09-11,62.42,62.91,62.41,62.89,11864200,62.35
2013-09-10,62.48,62.70,62.41,62.67,15972400,62.13
2013-09-09,61.49,62.00,61.49,61.97,17398000,61.44
2013-09-06,61.06,61.31,60.65,61.13,16398000,60.60
2013-09-05,60.59,60.86,60.58,60.80,10523400,60.28
2013-09-04,60.21,60.94,60.15,60.85,11868800,60.33
2013-09-03,60.51,60.59,60.04,60.31,18912700,59.79
2013-08-30,59.62,59.64,59.16,59.17,21045300,58.66
2013-08-29,59.86,60.16,59.80,59.91,10555800,59.40
2013-08-28,59.75,60.22,59.68,60.01,10521700,59.49
2013-08-27,60.43,60.63,60.04,60.08,18839100,59.56
2013-08-26,61.28,61.40,61.11,61.12,8471000,60.59
2013-08-23,61.38,61.58,61.21,61.57,10141600,61.04
2013-08-22,60.90,61.13,60.88,61.04,8041700,60.52
2013-08-21,60.77,61.00,60.23,60.45,12755200,59.93
2013-08-20,61.03,61.33,60.92,61.17,12885800,60.64
2013-08-19,61.62,61.66,61.21,61.25,13596700,60.72
2013-08-16,61.71,61.83,61.59,61.69,15219600,61.16
2013-08-15,61.33,61.66,60.94,61.58,23650000,61.05
2013-08-14,62.10,62.19,61.99,62.10,14258600,61.57
2013-08-13,61.83,62.14,61.49,62.07,13189100,61.54
2013-08-12,61.51,61.73,61.50,61.67,13785000,61.14
2013-08-09,61.65,61.94,61.61,61.84,14951500,61.31
2013-08-08,61.52,61.83,61.34,61.73,12612700,61.20
2013-08-07,61.20,61.30,61.10,61.18,11989700,60.65
