Date,Open,High,Low,Close,Volume,Adj Close
2013-12-19,112.72,112.85,111.89,112.04,32871100,112.04
2013-12-18,111.53,112.90,110.36,112.88,52962000,112.88
2013-12-17,111.45,111.54,110.62,111.35,32374200,111.35
2013-12-16,110.62,111.57,110.15,111.51,33981000,111.51
2013-12-13,110.05,110.53,109.42,110.20,32980300,110.20
2013-12-12,109.70,110.25,109.36,109.84,37686000,109.84
2013-12-11,111.53,111.55,109.32,109.60,41950600,109.60
2013-12-10,112.23,112.58,111.24,111.43,34938800,111.43
2013-12-09,112.63,112.89,111.89,112.45,31219700,112.45
2013-12-06,112.62,113.10,112.19,112.48,35961000,112.48
2013-12-05,111.49,112.02,111.15,111.61,37926700,111.61
2013-12-04,111.31,112.42,110.37,111.53,40609500,111.53
2013-12-03,112.13,112.60,111.27,111.83,36930700,111.83
2013-12-02,113.70,113.76,112.06,112.37,43155200,112.37
2013-11-29,113.94,114.16,113.45,113.51,15675500,113.51
2013-11-27,112.84,113.57,112.64,113.45,29098800,113.45
2013-11-26,111.99,113.02,111.90,112.82,30760700,112.82
2013-11-25,112.13,112.28,111.63,111.99,22968600,111.99
2013-11-22,111.29,111.97,111.10,111.85,28786400,111.85
2013-11-21,109.81,111.36,109.68,111.30,45585000,111.30
2013-11-20,109.93,110.20,108.85,109.33,43376700,109.33
2013-11-19,110.11,110.69,108.99,109.37,35565500,109.37
2013-11-18,111.32,111.42,109.75,110.05,35509600,110.05
2013-11-15,110.60,110.99,110.16,110.83,27518500,110.83
2013-11-14,110.47,110.60,109.74,110.41,33226800,110.41
2013-11-13,108.66,110.55,108.62,110.52,36438200,110.52
2013-11-12,109.07,109.51,108.67,109.47,28075100,109.47
2013-11-11,109.04,109.60,108.64,109.38,19897700,109.38
2013-11-08,107.44,109.46,107.39,109.23,48147500,109.23
2013-11-07,109.62,109.81,107.14,107.28,60447500,107.28
2013-11-06,110.35,110.37,108.91,109.12,31535000,109.12
2013-11-05,109.55,109.93,108.86,109.59,26643500,109.59
2013-11-04,109.24,110.15,108.83,109.97,31960000,109.97
2013-11-01,109.41,109.63,107.92,108.72,117030400,108.72
2013-10-31,109.77,110.18,108.89,109.19,47349900,109.19
2013-10-30,111.40,111.48,109.52,109.83,46056800,109.83
2013-10-29,111.33,111.62,110.53,111.35,30026900,111.35
2013-10-28,111.13,111.29,110.46,111.03,22512200,111.03
2013-10-25,111.24,111.45,110.57,111.08,21321900,111.08
2013-10-24,110.47,111.26,110.33,110.98,24711800,110.98
2013-10-23,110.24,110.55,109.77,110.39,32275300,110.39
2013-10-22,110.95,111.49,110.37,110.76,38112600,110.76
2013-10-21,110.85,111.08,110.27,110.47,29198900,110.47
2013-10-18,110.22,110.77,109.83,110.69,39496400,110.69
2013-10-17,108.00,109.46,107.97,109.44,38967200,109.44
2013-10-16,107.91,108.60,107.64,108.49,34333600,108.49
2013-10-15,107.99,108.23,106.92,107.16,42263500,107.16
2013-10-14,107.06,108.35,106.93,108.22,38774800,108.22
2013-10-11,105.84,107.73,105.83,107.68,43197100,107.68
2013-10-10,105.01,106.31,104.92,106.14,53157800,106.14
2013-10-09,104.30,104.36,103.00,103.64,52604900,103.64
2013-10-08,105.84,106.03,103.92,104.06,61365000,104.06
2013-10-07,105.99,106.66,105.72,105.77,32924200,105.77
2013-10-04,106.34,107.32,106.15,107.02,25902800,107.02
2013-10-03,107.21,107.36,105.60,106.31,57799200,106.31
2013-10-02,107.09,107.75,106.85,107.41,30622900,107.41
2013-10-01,106.56,107.93,106.45,107.85,39344400,107.85
2013-09-30,105.43,106.84,105.24,106.61,45771700,106.61
2013-09-27,106.39,107.05,106.21,106.58,30296400,106.58
2013-09-26,106.75,107.47,106.36,107.06,29490600,107.06
2013-09-25,106.77,107.48,106.33,106.47,37106600,106.47
2013-09-24,106.46,107.42,105.79,106.67,45267000,106.67
2013-09-23,106.72,106.87,105.80,106.60,47759700,106.32
2013-09-20,107.24,107.28,106.55,106.59,49522500,106.31
2013-09-19,107.36,107.43,106.62,106.98,34775900,106.70
2013-09-18,106.05,107.61,105.26,107.09,46237100,106.81
2013-09-17,105.06,106.08,105.04,106.08,28901400,105.80
2013-09-16,106.05,106.08,104.85,105.04,28755900,104.76
2013-09-13,104.59,104.83,104.10,104.81,29478700,104.53
2013-09-12,104.91,105.02,104.21,104.24,32707600,103.96
2013-09-11,104.79,105.22,104.53,105.01,26412500,104.73
2013-09-10,104.58,104.98,104.20,104.96,25126300,104.68
2013-09-09,102.74,104.03,102.73,103.94,27358500,103.66
2013-09-06,102.70,102.89,100.74,102.39,36792000,102.12
2013-09-05,102.03,102.53,101.85,102.11,22770200,101.84
2013-09-04,101.16,102.01,100.75,101.95,22580800,101.68
2013-09-03,101.86,102.37,100.13,101.06,37995800,100.79
2013-08-30,101.99,102.05,100.24,100.38,43334600,100.11
2013-08-29,100.89,102.36,100.81,101.97,27628600,101.70
2013-08-28,100.62,101.36,100.50,100.96,28927500,100.69
