Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,102.86,103.54,102.65,102.69,63000,102.69
2013-12-30,102.77,102.93,102.50,102.75,17200,102.75
2013-12-27,103.05,103.05,102.32,102.60,53100,102.60
2013-12-26,103.15,103.35,102.72,102.79,12000,102.79
2013-12-24,102.65,103.04,102.65,102.96,10600,102.96
2013-12-23,101.69,102.44,101.69,102.33,18600,102.33
2013-12-20,99.93,102.48,98.33,101.60,23000,101.60
2013-12-19,102.91,102.98,102.04,102.12,17200,99.68
2013-12-18,101.80,103.10,101.37,103.10,34200,100.63
2013-12-17,101.90,101.90,101.22,101.63,11500,99.20
2013-12-16,101.17,102.01,101.17,101.83,17300,99.39
2013-12-13,100.68,100.95,100.22,100.74,23400,98.33
2013-12-12,100.26,100.78,100.08,100.28,11600,97.88
2013-12-11,101.60,101.60,99.86,100.04,20200,97.65
2013-12-10,102.18,102.50,101.51,101.60,40800,99.17
2013-12-09,102.85,102.85,102.31,102.59,29800,100.14
2013-12-06,102.80,103.18,102.57,102.85,11700,100.39
2013-12-05,101.68,102.17,101.59,101.97,9500,99.53
2013-12-04,101.55,102.68,100.89,101.73,17100,99.30
2013-12-03,102.30,102.68,101.68,102.18,8200,99.74
2013-12-02,103.95,104.39,102.15,102.52,53400,100.07
2013-11-29,104.18,105.09,103.80,103.91,7900,101.43
2013-11-27,103.23,103.85,103.23,103.78,9200,101.30
2013-11-26,102.36,103.38,102.28,103.13,10000,100.66
2013-11-25,102.70,105.33,102.24,102.35,20200,99.90
2013-11-22,102.08,102.49,101.66,102.49,10500,100.04
2013-11-21,100.46,102.02,100.46,101.75,10000,99.32
2013-11-20,100.65,100.86,99.91,100.15,17100,97.76
2013-11-19,100.93,101.55,100.07,100.20,14000,97.80
2013-11-18,101.46,101.68,100.41,100.85,17400,98.44
2013-11-15,101.04,101.39,100.80,101.18,4000,98.76
2013-11-14,100.85,101.01,100.21,100.88,9600,98.47
2013-11-13,99.45,100.58,99.44,100.58,105300,98.17
2013-11-12,99.84,99.99,99.43,99.86,18500,97.47
2013-11-11,100.14,100.26,99.70,99.98,558100,97.59
2013-11-08,98.35,100.18,98.35,99.82,12300,97.43
2013-11-07,100.04,100.31,98.20,98.37,7600,96.02
2013-11-06,100.16,100.17,99.75,99.77,6800,97.38
2013-11-05,99.50,100.21,99.50,100.00,13700,97.61
2013-11-04,99.20,100.12,99.20,100.11,7500,97.72
2013-11-01,99.70,101.21,98.25,98.95,19400,96.58
2013-10-31,99.80,99.99,99.14,99.79,9300,97.40
2013-10-30,101.08,101.08,99.69,100.00,109300,97.61
2013-10-29,101.08,101.31,100.45,101.00,8200,98.58
2013-10-28,100.70,100.72,100.09,100.70,10000,98.29
2013-10-25,100.46,100.66,100.08,100.37,17800,97.97
2013-10-24,100.00,100.64,99.68,100.46,20000,98.06
2013-10-23,99.43,99.99,99.30,99.86,17400,97.47
2013-10-22,100.28,100.66,99.71,100.22,11300,97.82
2013-10-21,100.01,100.26,99.72,99.83,33400,97.44
