COUNTRY,DATE,HOLIDAY,MARKETCLOSE
USA,2000-01-17,1,0
USA,2000-02-21,1,0
USA,2000-04-21,1,0
USA,2000-05-29,1,0
USA,2000-07-04,1,0
USA,2000-09-04,1,0
USA,2000-11-23,1,0
USA,2000-12-25,1,0
USA,2001-01-01,1,0
USA,2001-01-15,1,0
USA,2001-02-02,1,0
USA,2001-02-19,1,0
USA,2001-04-13,1,0
USA,2001-05-28,1,0
USA,2001-07-04,1,0
USA,2001-09-03,1,0
USA,2001-12-25,1,0
USA,2002-01-01,1,0
USA,2002-01-21,1,0
USA,2002-03-29,1,0
USA,2002-05-27,1,0
USA,2002-09-02,1,0
USA,2002-11-28,1,0
USA,2002-12-25,1,0
USA,2003-01-01,1,0
USA,2003-01-20,1,0
USA,2003-02-17,1,0
USA,2003-04-18,1,0
USA,2003-05-26,1,0
USA,2003-07-04,1,0
USA,2003-09-01,1,0
USA,2003-11-27,1,0
USA,2003-12-25,1,0
USA,2004-01-01,1,0
USA,2004-01-19,1,0
USA,2004-02-16,1,0
USA,2004-04-09,1,0
USA,2004-05-31,1,0
USA,2004-06-11,1,0
USA,2004-07-05,1,0
USA,2004-09-06,1,0
USA,2004-11-25,1,0
USA,2004-12-24,1,0
USA,2005-01-17,1,0
USA,2005-02-21,1,0
USA,2005-03-25,1,0
USA,2005-05-30,1,0
USA,2005-07-04,1,0
USA,2005-09-05,1,0
USA,2005-11-24,1,0
USA,2005-12-26,1,0
USA,2005-12-27,1,0
USA,2006-01-02,1,0
USA,2006-01-16,1,0
USA,2006-02-20,1,0
USA,2006-04-14,1,0
USA,2006-05-29,1,0
USA,2006-07-04,1,0
USA,2006-09-04,1,0
USA,2006-11-23,1,0
USA,2006-12-25,1,0
USA,2007-01-01,1,0
USA,2007-01-15,1,0
USA,2007-02-19,1,0
USA,2007-04-06,1,0
USA,2007-05-28,1,0
USA,2007-07-04,1,0
USA,2007-09-03,1,0
USA,2007-11-22,1,0
USA,2007-12-25,1,0
USA,2008-01-01,1,0
USA,2008-01-21,1,0
USA,2008-02-18,1,0
USA,2008-03-21,1,0
USA,2008-05-26,1,0
USA,2008-07-04,1,0
USA,2008-09-01,1,0
USA,2008-11-27,1,0
USA,2008-12-25,1,0
USA,2009-01-01,1,0
USA,2009-01-19,1,0
USA,2009-02-16,1,0
USA,2009-04-10,1,0
USA,2009-05-25,1,0
USA,2009-07-03,1,0
USA,2009-09-07,1,0
USA,2009-11-26,1,0
USA,2009-12-25,1,0
USA,2010-01-01,1,0
USA,2010-01-18,1,0
USA,2010-02-15,1,0
USA,2010-04-02,1,0
USA,2010-05-31,1,0
USA,2010-07-05,1,0
USA,2010-09-06,1,0
USA,2010-11-25,1,0
USA,2010-12-24,1,0
USA,2011-01-17,1,0
USA,2011-02-21,1,0
USA,2011-04-22,1,0
USA,2011-05-30,1,0
USA,2011-07-04,1,0
USA,2011-09-05,1,0
USA,2011-11-24,1,0
USA,2011-12-26,1,0
USA,2012-01-02,1,0
USA,2012-01-16,1,0
USA,2012-02-20,1,0
USA,2012-04-06,1,0
USA,2012-05-28,1,0
USA,2012-07-04,1,0
USA,2012-09-03,1,0
USA,2012-10-29,0,1
USA,2012-10-30,0,1
USA,2012-11-22,1,0
USA,2012-12-25,1,0
USA,2013-01-01,1,0
USA,2013-01-21,1,0
USA,2013-02-18,1,0
USA,2013-03-29,1,0
USA,2013-05-27,1,0
USA,2013-07-04,1,0
USA,2013-09-02,1,0
USA,2013-11-28,1,0
USA,2013-12-25,1,0
USA,2014-01-01,1,0
USA,2014-01-20,1,0
USA,2014-02-17,1,0
USA,2014-04-18,1,0
USA,2014-05-26,1,0
USA,2014-07-04,1,0
USA,2014-09-01,1,0
USA,2014-11-27,1,0
USA,2014-12-25,1,0
